model_a,model_b,delta,ci_low,ci_high,p_value,n,p_adj,significant
Claude 3.5 Sonnet,GPT-3.5 Turbo,0.19199544224469445,0.1830223614869676,0.20111095285571856,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,GPT-4 (0125),0.04799886056117364,0.04045007833641934,0.055903717419171106,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,GPT-4o,0.008047286711294732,0.0009257940464321157,0.015311209229454503,0.0301,28084,0.0645,False
Claude 3.5 Sonnet,Llama 3 405B,0.025993448226748317,0.018729525708588546,0.03361344537815125,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,Llama 3 70B,0.06302521008403361,0.055333998005982044,0.07107249679532823,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,Llama 3 8B,0.20502777382139292,0.19598347813701744,0.21442814413901157,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,Mixtral 8x22B,0.13003845606039022,0.12163509471585243,0.1386554621848739,0.0001,28084,0.0036000000000000003,True
Claude 3.5 Sonnet,Nemotron-4 340B,0.07299529981484121,0.06516165788349237,0.08111380145278446,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,GPT-4 (0125),-0.1439965816835208,-0.15339695200113945,-0.13409770687936184,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,GPT-4o,-0.18394815553339972,-0.19292123629112656,-0.17447300954280018,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,Llama 3 405B,-0.16600199401794613,-0.1752599344822674,-0.15624554906708443,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,Llama 3 70B,-0.12897023216066084,-0.13858424725822527,-0.1188541518302236,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,Llama 3 8B,0.013032331576698475,0.002492522432701816,0.024141860133884085,0.0215,28084,0.0645,False
GPT-3.5 Turbo,Mixtral 8x22B,-0.06195698618430423,-0.07199829084176035,-0.05141717704030757,0.0001,28084,0.0036000000000000003,True
GPT-3.5 Turbo,Nemotron-4 340B,-0.11900014242985324,-0.1284717276741204,-0.10888762284574849,0.0001,28084,0.0036000000000000003,True
GPT-4 (0125),GPT-4o,-0.03995157384987891,-0.04764278592793059,-0.031833072211935654,0.0001,28084,0.0036000000000000003,True
GPT-4 (0125),Llama 3 405B,-0.022005412334425323,-0.029981484119071318,-0.013744480843184692,0.0001,28084,0.0036000000000000003,True
GPT-4 (0125),Llama 3 70B,0.015026349522859972,0.006622988178322187,0.0237145705739924,0.0002,28084,0.0036000000000000003,True
GPT-4 (0125),Llama 3 8B,0.15702891326021928,0.14748611308930348,0.1670702179176755,0.0001,28084,0.0036000000000000003,True
GPT-4 (0125),Mixtral 8x22B,0.08203959549921658,0.07313772966813836,0.09136875089018659,0.0001,28084,0.0036000000000000003,True
GPT-4 (0125),Nemotron-4 340B,0.02499643925366757,0.016450648055832517,0.03375587523144852,0.0001,28084,0.0036000000000000003,True
GPT-4o,Llama 3 405B,0.017946161515453585,0.010539809143996654,0.02556615866685663,0.0001,28084,0.0036000000000000003,True
GPT-4o,Llama 3 70B,0.05497792337273888,0.04728671129468731,0.06309642501068224,0.0001,28084,0.0036000000000000003,True
GPT-4o,Llama 3 8B,0.1969804871100982,0.1878649764990742,0.2063096425010682,0.0001,28084,0.0036000000000000003,True
GPT-4o,Mixtral 8x22B,0.12199116934909549,0.11351659307790918,0.13075060532687655,0.0001,28084,0.0036000000000000003,True
GPT-4o,Nemotron-4 340B,0.06494801310354648,0.05704315624554901,0.07321250534111948,0.0001,28084,0.0036000000000000003,True
Llama 3 405B,Llama 3 70B,0.037031761857285295,0.029055690072639195,0.045292693348525814,0.0001,28084,0.0036000000000000003,True
Llama 3 405B,Llama 3 8B,0.1790343255946446,0.1697051702036747,0.18879433129183867,0.0001,28084,0.0036000000000000003,True
Llama 3 405B,Mixtral 8x22B,0.1040450078336419,0.09535678678250958,0.11294687366472012,0.0001,28084,0.0036000000000000003,True
Llama 3 405B,Nemotron-4 340B,0.04700185158809289,0.038812135023501004,0.05547642785927931,0.0001,28084,0.0036000000000000003,True
Llama 3 70B,Llama 3 8B,0.1420025637373593,0.13231733371314625,0.15211508332146417,0.0001,28084,0.0036000000000000003,True
Llama 3 70B,Mixtral 8x22B,0.0670132459763566,0.05796895029198123,0.07662726107392115,0.0001,28084,0.0036000000000000003,True
Llama 3 70B,Nemotron-4 340B,0.009970089730807596,0.0014242985329725455,0.019014385415182966,0.0276,28084,0.0645,False
Llama 3 8B,Mixtral 8x22B,-0.0749893177610027,-0.08503062241845893,-0.06437829369035752,0.0001,28084,0.0036000000000000003,True
Llama 3 8B,Nemotron-4 340B,-0.13203247400655171,-0.14164648910411615,-0.1219911693490956,0.0001,28084,0.0036000000000000003,True
Mixtral 8x22B,Nemotron-4 340B,-0.05704315624554901,-0.06630109670987039,-0.04750035607463321,0.0001,28084,0.0036000000000000003,True
